id,title,type,duration,icon,content,exercises,triggerTags,category,difficulty,equipment,workout
reset_cold_shower,Zimny prysznic,Reset Energetyczny,2,🚿,"Idź pod prysznic i zrób 30 sekundowy zimny prysznic. To natychmiastowy sygnał dla ciała, by się obudziło i podniosło poziom dopaminy na +/- 3 godziny.",[],"[""Słaby sen"", ""Stres"", ""Zmęczenie""]",all,Łatwy,Brak,
reset_sound_music,Dźwięk i muzyka,Reset Energetyczny,3,🎶,"Opcja 1: Puść głośno ulubioną piosenkę. Koniecznie bez słuchawek, aby dźwięk wypełnił przestrzeń.\n\nOpcja 2: Użyj aplikacji ze ścieżkami dźwiękowymi wspierającymi pracę mózgu:\n- <a href=""https://endel.io/"" target=""_blank"" rel=""noopener noreferrer"">Endel</a>\n- <a href=""https://www.brain.fm/pl"" target=""_blank"" rel=""noopener noreferrer"">Brain.fm</a>\n- <a href=""https://www.youtube.com/@MindAmend"" target=""_blank"" rel=""noopener noreferrer"">MindAmend</a>",[],"[""Praca głęboka"", ""Stres"", ""Zmęczenie""]",all,Łatwy,Brak,
reset_breathing_478,Weź oddech (4-7-8),Technika oddechowa,2,🌬️,"Zastosuj technikę 4-7-8:\n- 4 sekundy wdechu\n- 7 sekund wstrzymania\n- 8 sekund wydechu\nPowtarzaj przez co najmniej 2 minuty, aby osiągnąć zamierzony efekt.",[],"[""Stres"", ""Spotkanie"", ""Przytłoczenie""]",all,Łatwy,Brak,
protocol_morning_kickstarter,Poranny Kickstarter,Protokół Ruchowy,10,☀️,"Zestaw ćwiczeń mobilizacyjnych na idealny początek dnia. Rozruszaj zastałe po nocy ciało i przygotuj je do działania.",[],"[""Poranek"", ""Energia"", ""Mobilizacja""]",all,Średni,Brak,
protocol_reboot_shake_it,Energetyczny Reboot - Shake It,Protokół Ruchowy,5,💃,"Szybki i dynamiczny protokół, aby rozruszać ciało, pozbyć się napięcia i natychmiast podnieść poziom energii.",[],"[""Spotkanie"", ""Stres"", ""Zmęczenie""]",all,Łatwy,Brak,
protocol_reboot_reset,Energetyczny Reboot - Reset,Protokół Ruchowy,5,🔄,"Skoncentrowany na oddechu i delikatnym ruchu protokół, który pomaga zresetować układ nerwowy i odzyskać spokój.",[],"[""Praca głęboka"", ""Posiłek"", ""Stres"", ""Przytłoczenie""]",all,Łatwy,Brak,
protocol_reboot_pumpfocus,Reboot - PumpFocus,Protokół Ruchowy,5,⚡,"Intensywny protokół, który ma za zadanie maksymalnie dotlenić mózg i przygotować Cię do głębokiej pracy wymagającej skupienia.",[],"[""Praca głęboka"", ""Trening"", ""Brain Fog""]",all,Średni,Brak,
protocol_reboot_brainflow,Reboot - BrainFlow,Protokół Ruchowy,6.5,🧠,"Protokół stworzony, aby pobudzić krążenie i dotlenić mózg, idealny przed sesją głębokiej pracy lub gdy dopada Cię mgła mózgowa.","[{""type"": ""exercise"", ""exerciseId"": ""ex002"", ""duration"": 60}, {""type"": ""rest"", ""duration"": 30}, {""type"": ""exercise"", ""exerciseId"": ""ex001"", ""duration"": 45}, {""type"": ""rest"", ""duration"": 30}, {""type"": ""exercise"", ""exerciseId"": ""ex003"", ""duration"": 60}, {""type"": ""rest"", ""duration"": 30}, {""type"": ""exercise"", ""exerciseId"": ""ex002"", ""duration"": 45}]","[""Praca głęboka"", ""Skupienie"", ""Brain Fog""]",all,Średni,Brak,



